Laissez-faire;t;Ns;Ni;a_t;Utility;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;Utility;Lambda_s;Lambda_i
;0;0,999922;5,26735E-05;0,997875;-2,26072E-06;-102,859;-194,343;;;;0;0,999922;5,27028E-05;0,614904;-0,101193;-165,651;-21985,5
;1;0,999895;7,09423E-05;0,997149;-4,0732E-06;-,103;-194,348;;;;1;0,999913;5,40096E-05;0,6146;-0,101383;-165,684;-21495,3
;2;0,999859;9,54763E-05;0,996178;-7,32189E-06;-,103;-194,352;;;;2;0,999904;5,53397E-05;0,614298;-0,101573;-165,717;-21019,6
;3;0,99981;0,000128366;0,994886;-1,31212E-05;-,103;-194,358;;;;3;0,999895;0,000056693;0,613996;-0,101763;-165,749;-20557,8
;4;0,999745;0,000172355;0,993172;-0,000023418;-103,658;-194,364;;;;4;0,999885;5,80699E-05;0,613696;-0,101952;-165,781;-20109,4
;5;0,999657;0,000231007;0,99091;-4,15704E-05;-103,855;-194,372;;;;5;0,999875;5,94704E-05;0,613395;-0,102141;-165,813;-19674
;6;0,999541;0,0003089;0,987943;-7,32777E-05;-104,049;-,194;;;;6;0,999865;6,08946E-05;0,613096;-0,10233;-165,844;-19251,2
;7;0,999387;0,000411811;0,984085;-0,000128005;-104,241;-,194;;;;7;0,999855;6,23428E-05;0,612797;-0,102518;-165,875;-18840,5
;8;0,999184;0,000546869;0,979122;-0,000221033;-104,428;-194,401;;;;8;0,999845;6,38149E-05;0,6125;-0,102707;-165,906;-18441,5
;9;0,998918;0,000722627;0,972822;-0,000376166;-,105;-194,414;;;;9;0,999834;6,53112E-05;0,612203;-0,102895;-165,937;-18053,9
;10;0,998573;0,000948966;0,964954;-0,000628833;-104,785;-194,428;;;;10;0,999823;6,68316E-05;0,611906;-0,103082;-165,967;-17677,3
;11;0,99813;0,00123675;0,955322;-0,00102884;-104,951;-194,445;;;;11;0,999812;6,83764E-05;0,611611;-0,10327;-165,998;-17311,3
;12;0,997568;0,00159715;0,943793;-0,00164144;-105,107;-194,463;;;;12;0,9998;6,99456E-05;0,611316;-0,103457;-166,027;-16955,6
;13;0,996866;0,0020407;0,930342;-0,00254505;-105,249;-194,484;;;;13;0,999789;7,15392E-05;0,611023;-0,103644;-166,057;-16609,9
;14;0,996002;0,00257607;0,915075;-0,00382428;-105,377;-194,507;;;;14;0,999777;7,31574E-05;0,61073;-0,10383;-166,086;-16273,7
;15;0,994957;0,00320884;0,898234;-0,00555863;-105,486;-194,531;;;;15;0,999764;7,48003E-05;0,610438;-0,104017;-166,115;-15946,9
;16;0,993716;0,00394052;0,880178;-0,0078091;-105,577;-194,558;;;;16;0,999752;7,64678E-05;0,610147;-0,104203;-166,144;-15629,1
;17;0,992267;0,00476806;0,861337;-0,0106065;-105,646;-194,585;;;;17;0,999739;0,00007816;0,609857;-0,104388;-166,172;-15320,1
;18;0,990606;0,00568392;0,84216;-0,0139453;-105,693;-194,614;;;;18;0,999726;7,98771E-05;0,609567;-0,104573;-166,201;-15019,5
;19;0,988731;0,00667671;0,823069;-0,0177842;-105,718;-194,643;;;;19;0,999713;8,16189E-05;0,609279;-0,104758;-166,228;-14727,1
;20;0,986647;0,00773222;0,804424;-0,0220527;-105,719;-194,673;;;;20;0,999699;8,33856E-05;0,608991;-0,104943;-166,256;-14442,6
;21;0,984362;0,00883456;0,786505;-0,0266613;-105,697;-194,702;;;;21;0,999686;8,51772E-05;0,608705;-0,105127;-166,283;-14165,8
;22;0,981886;0,0099673;0,769507;-0,0315122;-105,652;-194,731;;;;22;0,999671;8,69936E-05;0,608419;-0,10531;-166,311;-13896,4
;23;0,979233;0,0111144;0,753556;-0,036508;-105,585;-194,759;;;;23;0,999657;8,88349E-05;0,608134;-0,105494;-166,337;-13634,2
;24;0,976417;0,0122609;0,738713;-0,0415587;-105,497;-194,786;;;;24;0,999642;9,07011E-05;0,607851;-0,105677;-166,364;-13379,1
;25;0,973452;0,0133935;0,724995;-0,0465854;-105,389;-194,812;;;;25;0,999627;9,25921E-05;0,607568;-0,105859;-,166;-13130,6
;26;0,970352;0,0145004;0,712384;-0,0515221;-105,262;-194,836;;;;26;0,999612;0,000094508;0,607286;-0,106041;-166,416;-12888,8
;27;0,967132;0,0155722;0,700839;-0,056316;-105,118;-194,859;;;;27;0,999597;9,64487E-05;0,607005;-0,106223;-166,442;-12653,3
;28;0,963805;0,0166008;0,690306;-0,0609265;-104,957;-194,881;;;;28;0,999581;9,84142E-05;0,606725;-0,106404;-166,467;-12424
;29;0,960383;0,0175803;0,68072;-0,065324;-104,781;-194,901;;;;29;0,999564;0,000100404;0,606447;-0,106585;-166,493;-12200,6
;30;0,956879;0,0185061;0,672018;-0,0694883;-,105;-194,919;;;;30;0,999548;0,000102419;0,606169;-0,106766;-166,517;-11983,1
;31;0,953303;0,0193752;0,664131;-0,0734066;-104,386;-194,936;;;;31;0,999531;0,000104459;0,605892;-0,106945;-166,542;-11771,2
;32;0,949667;0,0201856;0,656997;-0,0770728;-,104;-194,952;;;;32;0,999514;0,000106523;0,605616;-0,107125;-166,566;-11564,7
;33;0,945978;0,0209365;0,650553;-0,0804854;-103,942;-194,966;;;;33;0,999497;0,000108611;0,605342;-0,107304;-166,591;-11363,5
;34;0,942245;0,0216279;0,644742;-0,0836469;-103,705;-194,979;;;;34;0,999479;0,000110724;0,605068;-0,107482;-166,614;-11167,4
