t	Ns	Ni
-5020.98057460848	0.35279	0.000756535
-5021.98057460848	0.352896	0.000758953
-5022.98057460848	0.353002	0.00076138
-5023.98057460848	0.353108	0.000763815
-5024.98057460848	0.353215	0.00076626
-5025.98057460848	0.353322	0.000768714
-5026.98057460848	0.35343	0.000771177
-5027.98057460848	0.353538	0.000773649
-5028.98057460848	0.353646	0.00077613
-5029.98057460848	0.353755	0.00077862
-5030.98057460848	0.353863	0.00078112
-5031.98057460848	0.353973	0.000783629
-5032.98057460848	0.354082	0.000786147
-5033.98057460848	0.354192	0.000788675
-5034.98057460848	0.354303	0.000791212
-5035.98057460848	0.354413	0.000793759
-5036.98057460848	0.354524	0.000796315
-5037.98057460848	0.354636	0.00079888
-5038.98057460848	0.354747	0.000801455
-5039.98057460848	0.354859	0.00080404
-5040.98057460848	0.354972	0.000806635
-5041.98057460848	0.355085	0.000809239
-5042.98057460848	0.355198	0.000811853
-5043.98057460848	0.355311	0.000814477
-5044.98057460848	0.355425	0.00081711
-5045.98057460848	0.35554	0.000819754
-5046.98057460848	0.355654	0.000822408
-5047.98057460848	0.355769	0.000825071
-5048.98057460848	0.355885	0.000827745
-5049.98057460848	0.356	0.000830428
-5050.98057460848	0.356117	0.000833122
-5051.98057460848	0.356233	0.000835826
-5052.98057460848	0.35635	0.00083854
-5053.98057460848	0.356467	0.000841265
-5054.98057460848	0.356585	0.000843999
-5055.98057460848	0.356703	0.000846744
-5056.98057460848	0.356821	0.0008495
-5057.98057460848	0.35694	0.000852266
-5058.98057460848	0.357059	0.000855043
-5059.98057460848	0.357179	0.00085783
-5060.98057460848	0.357299	0.000860627
-5061.98057460848	0.357419	0.000863436
-5062.98057460848	0.35754	0.000866255
-5063.98057460848	0.357661	0.000869085
-5064.98057460848	0.357782	0.000871925
-5065.98057460848	0.357904	0.000874777
-5066.98057460848	0.358027	0.000877639
-5067.98057460848	0.358149	0.000880513
-5068.98057460848	0.358272	0.000883397
-5069.98057460848	0.358396	0.000886293
-5070.98057460848	0.35852	0.0008892
-5071.98057460848	0.358644	0.000892117
-5072.98057460848	0.358769	0.000895046
-5073.98057460848	0.358894	0.000897987
-5074.98057460848	0.35902	0.000900938
-5075.98057460848	0.359146	0.000903901
-5076.98057460848	0.359272	0.000906876
-5077.98057460848	0.359399	0.000909862
-5078.98057460848	0.359526	0.00091286
-5079.98057460848	0.359654	0.000915869
-5080.98057460848	0.359782	0.00091889
-5081.98057460848	0.35991	0.000921922
-5082.98057460848	0.360039	0.000924966
-5083.98057460848	0.360168	0.000928023
-5084.98057460848	0.360298	0.000931091
-5085.98057460848	0.360428	0.000934171
-5086.98057460848	0.360559	0.000937263
-5087.98057460848	0.36069	0.000940367
-5088.98057460848	0.360821	0.000943483
-5089.98057460848	0.360953	0.000946611
-5090.98057460848	0.361085	0.000949752
-5091.98057460848	0.361218	0.000952905
-5092.98057460848	0.361351	0.00095607
-5093.98057460848	0.361485	0.000959248
-5094.98057460848	0.361619	0.000962438
-5095.98057460848	0.361753	0.000965641
-5096.98057460848	0.361888	0.000968856
-5097.98057460848	0.362024	0.000972084
-5098.98057460848	0.36216	0.000975325
-5099.98057460848	0.362296	0.000978578
-5100.98057460848	0.362433	0.000981844
-5101.98057460848	0.36257	0.000985124
-5102.98057460848	0.362708	0.000988416
-5103.98057460848	0.362846	0.000991721
-5104.98057460848	0.362984	0.000995039
-5105.98057460848	0.363123	0.000998371
-5106.98057460848	0.363263	0.00100172
-5107.98057460848	0.363403	0.00100507
-5108.98057460848	0.363543	0.00100845
-5109.98057460848	0.363684	0.00101183
-5110.98057460848	0.363826	0.00101523
-5111.98057460848	0.363968	0.00101864
-5112.98057460848	0.36411	0.00102207
-5113.98057460848	0.364253	0.0010255
-5114.98057460848	0.364396	0.00102896
-5115.98057460848	0.36454	0.00103242
-5116.98057460848	0.364684	0.00103591
-5117.98057460848	0.364829	0.0010394
-5118.98057460848	0.364974	0.00104291
-5119.98057460848	0.36512	0.00104643
-5120.98057460848	0.365266	0.00104997
-5121.98057460848	0.365413	0.00105352
-5122.98057460848	0.36556	0.00105709
-5123.98057460848	0.365708	0.00106067
-5124.98057460848	0.365856	0.00106426
-5125.98057460848	0.366004	0.00106787
-5126.98057460848	0.366154	0.00107149
-5127.98057460848	0.366303	0.00107513
-5128.98057460848	0.366453	0.00107878
-5129.98057460848	0.366604	0.00108245
-5130.98057460848	0.366755	0.00108613
-5131.98057460848	0.366907	0.00108983
-5132.98057460848	0.367059	0.00109355
-5133.98057460848	0.367212	0.00109727
-5134.98057460848	0.367365	0.00110102
-5135.98057460848	0.367519	0.00110478
-5136.98057460848	0.367674	0.00110855
-5137.98057460848	0.367828	0.00111234
-5138.98057460848	0.367984	0.00111614
-5139.98057460848	0.36814	0.00111996
-5140.98057460848	0.368296	0.0011238
-5141.98057460848	0.368453	0.00112765
-5142.98057460848	0.368611	0.00113152
-5143.98057460848	0.368769	0.0011354
-5144.98057460848	0.368927	0.0011393
-5145.98057460848	0.369086	0.00114322
-5146.98057460848	0.369246	0.00114715
-5147.98057460848	0.369406	0.0011511
-5148.98057460848	0.369567	0.00115507
-5149.98057460848	0.369728	0.00115905
-5150.98057460848	0.36989	0.00116304
-5151.98057460848	0.370053	0.00116706
-5152.98057460848	0.370216	0.00117109
-5153.98057460848	0.370379	0.00117514
-5154.98057460848	0.370543	0.0011792
-5155.98057460848	0.370708	0.00118328
-5156.98057460848	0.370873	0.00118738
-5157.98057460848	0.371039	0.0011915
-5158.98057460848	0.371205	0.00119563
-5159.98057460848	0.371372	0.00119978
-5160.98057460848	0.37154	0.00120395
-5161.98057460848	0.371708	0.00120814
-5162.98057460848	0.371877	0.00121234
-5163.98057460848	0.372046	0.00121656
-5164.98057460848	0.372216	0.0012208
-5165.98057460848	0.372386	0.00122505
-5166.98057460848	0.372557	0.00122933
-5167.98057460848	0.372729	0.00123362
-5168.98057460848	0.372901	0.00123793
-5169.98057460848	0.373074	0.00124226
-5170.98057460848	0.373247	0.00124661
-5171.98057460848	0.373421	0.00125097
-5172.98057460848	0.373596	0.00125536
-5173.98057460848	0.373771	0.00125976
-5174.98057460848	0.373947	0.00126418
-5175.98057460848	0.374124	0.00126862
-5176.98057460848	0.374301	0.00127308
-5177.98057460848	0.374478	0.00127756
-5178.98057460848	0.374657	0.00128206
-5179.98057460848	0.374836	0.00128658
-5180.98057460848	0.375015	0.00129111
-5181.98057460848	0.375195	0.00129567
-5182.98057460848	0.375376	0.00130024
-5183.98057460848	0.375558	0.00130484
-5184.98057460848	0.37574	0.00130945
-5185.98057460848	0.375923	0.00131409
-5186.98057460848	0.376106	0.00131874
-5187.98057460848	0.37629	0.00132342
-5188.98057460848	0.376475	0.00132811
-5189.98057460848	0.37666	0.00133283
-5190.98057460848	0.376846	0.00133757
-5191.98057460848	0.377033	0.00134232
-5192.98057460848	0.37722	0.0013471
-5193.98057460848	0.377408	0.0013519
-5194.98057460848	0.377597	0.00135672
-5195.98057460848	0.377786	0.00136156
-5196.98057460848	0.377976	0.00136642
-5197.98057460848	0.378167	0.0013713
-5198.98057460848	0.378358	0.00137621
-5199.98057460848	0.37855	0.00138113
-5200.98057460848	0.378743	0.00138608
-5201.98057460848	0.378936	0.00139105
-5202.98057460848	0.37913	0.00139604
-5203.98057460848	0.379325	0.00140105
-5204.98057460848	0.379521	0.00140609
-5205.98057460848	0.379717	0.00141114
-5206.98057460848	0.379914	0.00141622
-5207.98057460848	0.380111	0.00142132
-5208.98057460848	0.380309	0.00142645
-5209.98057460848	0.380508	0.0014316
-5210.98057460848	0.380708	0.00143677
-5211.98057460848	0.380909	0.00144196
-5212.98057460848	0.38111	0.00144718
-5213.98057460848	0.381312	0.00145242
-5214.98057460848	0.381514	0.00145768
-5215.98057460848	0.381718	0.00146296
-5216.98057460848	0.381922	0.00146828
-5217.98057460848	0.382126	0.00147361
-5218.98057460848	0.382332	0.00147897
-5219.98057460848	0.382538	0.00148435
-5220.98057460848	0.382745	0.00148976
-5221.98057460848	0.382953	0.00149519
-5222.98057460848	0.383162	0.00150064
-5223.98057460848	0.383371	0.00150612
-5224.98057460848	0.383581	0.00151163
-5225.98057460848	0.383792	0.00151716
-5226.98057460848	0.384003	0.00152271
-5227.98057460848	0.384216	0.00152829
-5228.98057460848	0.384429	0.00153389
-5229.98057460848	0.384643	0.00153953
-5230.98057460848	0.384857	0.00154518
-5231.98057460848	0.385073	0.00155086
-5232.98057460848	0.385289	0.00155657
-5233.98057460848	0.385506	0.00156231
-5234.98057460848	0.385724	0.00156807
-5235.98057460848	0.385943	0.00157385
-5236.98057460848	0.386162	0.00157967
-5237.98057460848	0.386382	0.00158551
-5238.98057460848	0.386603	0.00159137
-5239.98057460848	0.386825	0.00159727
-5240.98057460848	0.387048	0.00160319
-5241.98057460848	0.387271	0.00160914
-5242.98057460848	0.387496	0.00161511
-5243.98057460848	0.387721	0.00162112
-5244.98057460848	0.387947	0.00162715
-5245.98057460848	0.388174	0.00163321
-5246.98057460848	0.388401	0.0016393
-5247.98057460848	0.38863	0.00164541
-5248.98057460848	0.388859	0.00165156
-5249.98057460848	0.389089	0.00165773
-5250.98057460848	0.38932	0.00166393
-5251.98057460848	0.389552	0.00167016
-5252.98057460848	0.389785	0.00167643
-5253.98057460848	0.390019	0.00168272
-5254.98057460848	0.390253	0.00168903
-5255.98057460848	0.390489	0.00169538
